hotel_id,price,stock,city,date,language,mobile,avatar_id,order_requests
679,156,0,amsterdam,8,danish,1,78501,2
283,119,6,amsterdam,8,danish,1,78501,2
303,220,2,amsterdam,8,danish,1,78501,2
172,136,1,amsterdam,8,danish,1,78501,2
460,86,0,amsterdam,8,danish,1,78501,2
570,111,0,amsterdam,8,danish,1,78501,2
12,81,0,amsterdam,8,danish,1,78501,2
86,115,0,amsterdam,8,danish,1,78501,2
214,306,6,amsterdam,8,danish,1,78501,2
628,156,0,amsterdam,8,danish,1,78501,2
326,296,13,amsterdam,8,danish,1,78501,2
548,237,23,amsterdam,8,danish,1,78501,2
163,248,8,amsterdam,8,danish,1,78501,2
218,303,6,amsterdam,8,danish,1,78501,2
271,84,0,amsterdam,8,danish,1,78501,2
783,103,0,amsterdam,8,danish,1,78501,2
685,422,7,amsterdam,8,danish,1,78501,2
510,366,14,amsterdam,8,danish,1,78501,2
515,421,8,amsterdam,8,danish,1,78501,2
193,153,4,amsterdam,8,danish,1,78501,2
352,103,24,amsterdam,8,danish,1,78501,2
760,229,6,amsterdam,8,danish,1,78501,2
387,431,8,amsterdam,8,danish,1,78501,2
45,181,0,amsterdam,8,danish,1,78501,2
788,112,0,amsterdam,8,danish,1,78501,2
960,421,8,amsterdam,8,danish,1,78501,2
83,181,8,amsterdam,8,danish,1,78501,2
465,338,10,amsterdam,8,danish,1,78501,2
196,113,0,amsterdam,8,danish,1,78501,2
680,156,0,amsterdam,8,danish,1,78501,2
311,106,17,amsterdam,8,danish,1,78501,2
603,370,8,amsterdam,8,danish,1,78501,2
933,156,0,amsterdam,8,danish,1,78501,2
111,151,5,amsterdam,8,danish,1,78501,2
22,180,1,amsterdam,8,danish,1,78501,2
52,180,6,amsterdam,8,danish,1,78501,2
581,154,0,amsterdam,8,danish,1,78501,2
762,180,8,amsterdam,8,danish,1,78501,2
442,197,10,amsterdam,8,danish,1,78501,2
587,157,0,amsterdam,8,danish,1,78501,2
674,139,4,amsterdam,8,danish,1,78501,2
417,184,0,amsterdam,8,danish,1,78501,2
450,177,31,amsterdam,8,danish,1,78501,2
223,156,0,amsterdam,8,danish,1,78501,2
85,162,3,amsterdam,8,danish,1,78501,2
140,191,3,amsterdam,8,danish,1,78501,2
917,342,10,amsterdam,8,danish,1,78501,2
429,258,23,amsterdam,8,danish,1,78501,2
211,153,0,amsterdam,8,danish,1,78501,2
902,217,11,amsterdam,8,danish,1,78501,2
375,109,0,amsterdam,8,danish,1,78501,2
366,81,0,amsterdam,8,danish,1,78501,2
146,220,9,amsterdam,8,danish,1,78501,2
157,307,14,amsterdam,8,danish,1,78501,2
369,78,0,amsterdam,8,danish,1,78501,2
594,403,10,amsterdam,8,danish,1,78501,2
752,416,8,amsterdam,8,danish,1,78501,2
921,95,8,amsterdam,8,danish,1,78501,2
867,153,0,amsterdam,8,danish,1,78501,2
9,87,0,amsterdam,8,danish,1,78501,2
166,142,6,amsterdam,8,danish,1,78501,2
880,134,0,amsterdam,8,danish,1,78501,2
88,136,0,amsterdam,8,danish,1,78501,2
779,246,8,amsterdam,8,danish,1,78501,2
778,112,0,amsterdam,8,danish,1,78501,2
625,250,8,amsterdam,8,danish,1,78501,2
529,398,7,amsterdam,8,danish,1,78501,2
234,180,2,amsterdam,8,danish,1,78501,2
945,186,3,amsterdam,8,danish,1,78501,2
724,307,13,amsterdam,8,danish,1,78501,2
256,81,0,amsterdam,8,danish,1,78501,2
706,130,0,amsterdam,8,danish,1,78501,2
482,83,0,amsterdam,8,danish,1,78501,2
493,181,2,amsterdam,8,danish,1,78501,2
77,420,8,amsterdam,8,danish,1,78501,2
103,187,22,amsterdam,8,danish,1,78501,2
835,106,31,amsterdam,8,danish,1,78501,2
507,130,6,amsterdam,8,danish,1,78501,2
676,90,3,amsterdam,8,danish,1,78501,2
743,178,6,amsterdam,8,danish,1,78501,2
807,420,8,amsterdam,8,danish,1,78501,2
16,184,0,amsterdam,8,danish,1,78501,2
967,81,0,amsterdam,8,danish,1,78501,2
918,349,11,amsterdam,8,danish,1,78501,2
809,420,8,amsterdam,8,danish,1,78501,2
604,134,6,amsterdam,8,danish,1,78501,2
117,94,3,amsterdam,8,danish,1,78501,2
591,326,12,amsterdam,8,danish,1,78501,2
891,127,5,amsterdam,8,danish,1,78501,2
588,180,0,amsterdam,8,danish,1,78501,2
777,186,2,amsterdam,8,danish,1,78501,2
916,139,6,amsterdam,8,danish,1,78501,2
307,130,6,amsterdam,8,danish,1,78501,2
455,181,12,amsterdam,8,danish,1,78501,2
346,246,7,amsterdam,8,danish,1,78501,2
821,113,4,amsterdam,8,danish,1,78501,2
925,128,0,amsterdam,8,danish,1,78501,2
158,184,8,amsterdam,8,danish,1,78501,2
878,112,4,amsterdam,8,danish,1,78501,2
441,220,11,amsterdam,8,danish,1,78501,2
317,203,11,amsterdam,8,danish,1,78501,2
82,112,2,amsterdam,8,danish,1,78501,2
212,306,6,amsterdam,8,danish,1,78501,2
230,189,3,amsterdam,8,danish,1,78501,2
658,184,1,amsterdam,8,danish,1,78501,2
224,147,14,amsterdam,8,danish,1,78501,2
567,95,0,amsterdam,8,danish,1,78501,2
475,109,0,amsterdam,8,danish,1,78501,2
585,77,9,amsterdam,8,danish,1,78501,2
627,109,0,amsterdam,8,danish,1,78501,2
105,180,8,amsterdam,8,danish,1,78501,2
101,412,8,amsterdam,8,danish,1,78501,2
557,116,0,amsterdam,8,danish,1,78501,2
750,116,8,amsterdam,8,danish,1,78501,2
892,287,6,amsterdam,8,danish,1,78501,2
430,178,14,amsterdam,8,danish,1,78501,2
660,178,4,amsterdam,8,danish,1,78501,2
505,112,2,amsterdam,8,danish,1,78501,2
969,87,1,amsterdam,8,danish,1,78501,2
264,82,0,amsterdam,8,danish,1,78501,2
657,212,6,amsterdam,8,danish,1,78501,2
410,132,6,amsterdam,8,danish,1,78501,2
10,157,0,amsterdam,8,danish,1,78501,2
34,81,0,amsterdam,8,danish,1,78501,2
373,186,3,amsterdam,8,danish,1,78501,2
630,159,0,amsterdam,8,danish,1,78501,2
269,157,0,amsterdam,8,danish,1,78501,2
253,328,13,amsterdam,8,danish,1,78501,2
