city,language,date,mobile,used
amsterdam,austrian,0,0,0
amsterdam,austrian,0,1,0
amsterdam,austrian,1,0,0
amsterdam,austrian,1,1,0
amsterdam,austrian,2,0,0
amsterdam,austrian,2,1,0
amsterdam,austrian,3,0,0
amsterdam,austrian,3,1,0
amsterdam,austrian,4,0,0
amsterdam,austrian,4,1,0
amsterdam,austrian,5,0,0
amsterdam,austrian,5,1,2
amsterdam,austrian,6,0,0
amsterdam,austrian,6,1,0
amsterdam,austrian,7,0,0
amsterdam,austrian,7,1,0
amsterdam,austrian,8,0,0
amsterdam,austrian,8,1,0
amsterdam,austrian,9,0,0
amsterdam,austrian,9,1,0
amsterdam,austrian,10,0,0
amsterdam,austrian,10,1,0
amsterdam,austrian,11,0,0
amsterdam,austrian,11,1,0
amsterdam,austrian,12,0,0
amsterdam,austrian,12,1,0
amsterdam,austrian,13,0,0
amsterdam,austrian,13,1,0
amsterdam,austrian,14,0,0
amsterdam,austrian,14,1,0
amsterdam,austrian,15,0,0
amsterdam,austrian,15,1,0
amsterdam,austrian,16,0,0
amsterdam,austrian,16,1,0
amsterdam,austrian,17,0,0
amsterdam,austrian,17,1,0
amsterdam,austrian,18,0,0
amsterdam,austrian,18,1,0
amsterdam,austrian,19,0,0
amsterdam,austrian,19,1,0
amsterdam,austrian,20,0,0
amsterdam,austrian,20,1,0
amsterdam,austrian,21,0,0
amsterdam,austrian,21,1,0
amsterdam,austrian,22,0,0
amsterdam,austrian,22,1,0
amsterdam,austrian,23,0,0
amsterdam,austrian,23,1,0
amsterdam,austrian,24,0,0
amsterdam,austrian,24,1,0
amsterdam,austrian,25,0,0
amsterdam,austrian,25,1,0
amsterdam,austrian,26,0,0
amsterdam,austrian,26,1,0
amsterdam,austrian,27,0,0
amsterdam,austrian,27,1,0
amsterdam,austrian,28,0,0
amsterdam,austrian,28,1,0
amsterdam,austrian,29,0,2
amsterdam,austrian,29,1,0
amsterdam,austrian,30,0,0
amsterdam,austrian,30,1,0
amsterdam,austrian,31,0,2
amsterdam,austrian,31,1,0
amsterdam,austrian,32,0,0
amsterdam,austrian,32,1,0
amsterdam,austrian,33,0,0
amsterdam,austrian,33,1,0
amsterdam,austrian,34,0,0
amsterdam,austrian,34,1,0
amsterdam,austrian,35,0,0
amsterdam,austrian,35,1,0
amsterdam,austrian,36,0,0
amsterdam,austrian,36,1,0
amsterdam,austrian,37,0,0
amsterdam,austrian,37,1,2
amsterdam,austrian,38,0,0
amsterdam,austrian,38,1,2
amsterdam,austrian,39,0,0
amsterdam,austrian,39,1,0
amsterdam,austrian,40,0,0
amsterdam,austrian,40,1,0
amsterdam,austrian,41,0,0
amsterdam,austrian,41,1,0
amsterdam,austrian,42,0,0
amsterdam,austrian,42,1,0
amsterdam,austrian,43,0,0
amsterdam,austrian,43,1,0
amsterdam,austrian,44,0,0
amsterdam,austrian,44,1,0
amsterdam,belgian,0,0,0
amsterdam,belgian,0,1,0
amsterdam,belgian,1,0,0
amsterdam,belgian,1,1,0
amsterdam,belgian,2,0,0
amsterdam,belgian,2,1,0
amsterdam,belgian,3,0,0
amsterdam,belgian,3,1,0
amsterdam,belgian,4,0,0
amsterdam,belgian,4,1,0
amsterdam,belgian,5,0,0
amsterdam,belgian,5,1,0
amsterdam,belgian,6,0,0
amsterdam,belgian,6,1,0
amsterdam,belgian,7,0,0
amsterdam,belgian,7,1,0
amsterdam,belgian,8,0,0
amsterdam,belgian,8,1,0
amsterdam,belgian,9,0,0
amsterdam,belgian,9,1,0
amsterdam,belgian,10,0,0
amsterdam,belgian,10,1,0
amsterdam,belgian,11,0,2
amsterdam,belgian,11,1,0
amsterdam,belgian,12,0,0
amsterdam,belgian,12,1,0
amsterdam,belgian,13,0,0
amsterdam,belgian,13,1,0
amsterdam,belgian,14,0,0
amsterdam,belgian,14,1,0
amsterdam,belgian,15,0,0
amsterdam,belgian,15,1,0
amsterdam,belgian,16,0,0
amsterdam,belgian,16,1,0
amsterdam,belgian,17,0,0
amsterdam,belgian,17,1,0
amsterdam,belgian,18,0,0
amsterdam,belgian,18,1,0
amsterdam,belgian,19,0,0
amsterdam,belgian,19,1,0
amsterdam,belgian,20,0,0
amsterdam,belgian,20,1,0
amsterdam,belgian,21,0,0
amsterdam,belgian,21,1,0
amsterdam,belgian,22,0,0
amsterdam,belgian,22,1,0
amsterdam,belgian,23,0,0
amsterdam,belgian,23,1,0
amsterdam,belgian,24,0,2
amsterdam,belgian,24,1,0
amsterdam,belgian,25,0,0
amsterdam,belgian,25,1,0
amsterdam,belgian,26,0,0
amsterdam,belgian,26,1,0
amsterdam,belgian,27,0,0
amsterdam,belgian,27,1,0
amsterdam,belgian,28,0,0
amsterdam,belgian,28,1,0
amsterdam,belgian,29,0,0
amsterdam,belgian,29,1,0
amsterdam,belgian,30,0,0
amsterdam,belgian,30,1,0
amsterdam,belgian,31,0,0
amsterdam,belgian,31,1,0
amsterdam,belgian,32,0,0
amsterdam,belgian,32,1,0
amsterdam,belgian,33,0,0
amsterdam,belgian,33,1,2
amsterdam,belgian,34,0,0
amsterdam,belgian,34,1,0
amsterdam,belgian,35,0,0
amsterdam,belgian,35,1,0
amsterdam,belgian,36,0,0
amsterdam,belgian,36,1,0
amsterdam,belgian,37,0,0
amsterdam,belgian,37,1,0
amsterdam,belgian,38,0,0
amsterdam,belgian,38,1,0
amsterdam,belgian,39,0,0
amsterdam,belgian,39,1,0
amsterdam,belgian,40,0,0
amsterdam,belgian,40,1,0
amsterdam,belgian,41,0,0
amsterdam,belgian,41,1,0
amsterdam,belgian,42,0,0
amsterdam,belgian,42,1,0
amsterdam,belgian,43,0,0
amsterdam,belgian,43,1,0
amsterdam,belgian,44,0,0
amsterdam,belgian,44,1,0
amsterdam,bulgarian,0,0,0
amsterdam,bulgarian,0,1,0
amsterdam,bulgarian,1,0,0
amsterdam,bulgarian,1,1,0
amsterdam,bulgarian,2,0,0
amsterdam,bulgarian,2,1,0
amsterdam,bulgarian,3,0,0
amsterdam,bulgarian,3,1,0
amsterdam,bulgarian,4,0,0
amsterdam,bulgarian,4,1,0
amsterdam,bulgarian,5,0,0
amsterdam,bulgarian,5,1,0
amsterdam,bulgarian,6,0,0
amsterdam,bulgarian,6,1,0
amsterdam,bulgarian,7,0,0
amsterdam,bulgarian,7,1,0
amsterdam,bulgarian,8,0,0
amsterdam,bulgarian,8,1,0
amsterdam,bulgarian,9,0,0
amsterdam,bulgarian,9,1,0
amsterdam,bulgarian,10,0,0
amsterdam,bulgarian,10,1,0
amsterdam,bulgarian,11,0,0
amsterdam,bulgarian,11,1,0
amsterdam,bulgarian,12,0,0
amsterdam,bulgarian,12,1,0
amsterdam,bulgarian,13,0,0
