avatar_id,date,order_requests
78524,31,10
78498,5,4
78457,11,2
78465,19,6
78476,30,7
78506,13,6
78480,34,4
78528,35,9
78501,8,16
78512,19,9
78490,44,8
78500,7,6
78485,39,4
78502,9,8
78535,42,8
78435,19,1
78479,33,5
78537,44,11
78448,2,7
78481,35,4
78532,39,10
78428,4,1
78486,40,3
78534,41,11
78526,33,11
78521,28,6
78531,38,7
78548,17,2
78496,3,13
78523,30,10
78464,18,6
78511,18,10
78516,23,9
78530,37,8
78507,14,7
78438,28,2
78475,29,4
78462,16,1
78447,1,5
78503,10,4
78519,26,2
78452,6,5
78471,25,4
78433,17,2
78489,43,4
78533,40,11
78494,1,9
78466,20,5
78488,42,7
78536,43,9
78493,0,8
78504,11,6
78459,13,3
78467,21,3
78509,16,9
78549,26,2
78515,22,6
78484,38,7
78517,24,4
78455,9,5
78469,23,6
78483,37,3
78458,12,2
78529,36,9
78473,27,3
78440,34,2
78508,15,6
78482,36,8
78474,28,3
78527,34,5
78463,17,3
78449,3,3
78513,20,6
78450,4,5
78453,7,6
78460,14,3
78470,24,5
78495,2,7
78550,29,2
78477,31,3
78478,32,2
78525,32,10
78423,8,1
78541,12,2
78505,12,5
78544,6,2
78446,0,4
78426,0,1
78518,25,9
78542,2,1
78461,15,3
78497,4,3
78487,41,6
78520,27,4
78454,8,4
78522,29,4
78547,11,1
78441,37,1
78432,15,1
78425,24,2
78499,6,5
78429,5,1
78420,43,3
82765,10,1
78427,1,1
78451,5,3
78431,8,1
78472,26,4
78434,18,1
78551,39,3
78510,17,3
78468,22,3
78442,39,2
78545,7,1
78437,27,1
78421,13,1
78456,10,1
78422,27,2
78436,20,1
78443,40,2
78424,42,2
78546,9,1
78543,4,1
78514,21,2
78439,33,2
78430,7,1
82766,35,2
82767,43,3
82768,38,2
85833,29,2
85831,17,2
85830,12,1
85828,6,1
85834,36,3
85835,37,2
85827,5,2
85829,10,1
85832,18,1
85844,33,1
85838,5,1
85836,2,1
85841,28,1
85843,30,3
85837,3,1
85840,22,1
85842,29,2
85839,19,2
85853,43,1
85847,18,1
85851,33,2
85846,12,1
85848,24,1
85849,27,4
85852,38,1
85845,2,1
85850,32,1
85854,0,1
85855,44,2
85857,43,1
85858,36,3
85859,22,1
85860,0,1
85861,17,1
85862,39,2
85865,23,2
85870,42,1
85864,16,1
85863,0,2
85867,35,2
85868,38,4
85869,41,1
85866,33,2
85874,43,4
85873,34,3
85871,18,1
85872,30,2
85879,43,2
85878,42,3
85877,36,2
85875,11,1
85876,20,1
85880,0,1
85895,42,2
85896,43,4
85882,3,1
85888,25,2
85893,36,2
85890,28,2
85885,21,2
85887,23,1
85883,10,1
85892,35,1
85881,2,2
85886,22,1
85891,29,1
85884,11,1
85889,26,3
85894,37,2
85913,39,2
85914,44,2
85907,29,2
85898,3,1
85912,38,1
85899,4,1
85905,19,2
85906,25,1
85910,35,2
85900,5,2
85904,12,2
85897,2,1
85902,8,1
85903,9,1
85909,32,2
85911,37,2
85908,30,1
85901,7,1
85926,36,2
85929,42,1
85927,40,2
85917,4,2
85930,43,2
85916,2,1
85920,17,2
85921,19,3
85919,11,1
85918,6,3
85915,0,1
85928,41,2
85923,28,1
85922,24,1
85925,34,3
85924,29,1
85942,16,2
85933,2,2
85934,4,1
85944,20,3
85931,0,2
85947,27,5
85938,11,1
85932,1,1
85936,8,3
85939,13,1
85952,36,2
85935,7,2
85945,24,2
85948,29,2
85951,34,1
85950,31,1
85940,14,1
85946,25,1
85943,18,1
85955,42,4
85949,30,1
85953,39,2
85941,15,1
85957,44,3
85956,43,4
85937,10,1
85954,40,2
85958,1,2
85961,5,3
85972,22,4
85983,39,1
85962,7,2
85968,15,2
85967,14,1
85969,16,2
85966,13,2
85976,28,2
85978,30,3
85965,12,1
85964,9,1
85977,29,2
85980,34,4
85975,27,3
85982,37,3
85970,18,3
85959,3,1
85960,4,1
85979,33,3
85974,24,4
85971,21,2
85963,8,1
85973,23,1
85984,44,2
85981,36,1
85989,7,3
85995,14,3
86000,19,3
86005,25,1
86019,42,3
86004,24,3
86013,36,2
86008,30,3
86003,23,4
85986,2,2
86011,34,2
86020,43,5
86015,38,5
85991,10,3
86007,28,4
85994,13,3
86017,40,5
86006,27,4
85992,11,2
85993,12,3
85998,17,5
86016,39,3
86009,31,2
86021,44,4
85985,1,2
86012,35,2
86018,41,2
85997,16,1
85988,5,2
86014,37,3
86002,21,4
86001,20,3
85987,4,2
85990,8,1
85996,15,3
85999,18,1
86010,33,3
86034,12,4
86033,11,3
86030,8,3
86042,20,4
86050,30,2
86041,19,2
86023,1,1
86058,38,5
86040,18,5
86029,7,3
86047,27,3
86038,16,1
86059,39,2
86055,35,2
86044,24,1
86022,0,1
86036,14,2
86053,33,3
86051,31,3
86049,29,2
86026,4,3
86061,41,4
86046,26,2
86039,17,1
86052,32,2
