city,language,date,mobile
paris,french,43,1
sofia,cypriot,13,0
sofia,estonian,27,0
vienna,estonian,42,0
madrid,danish,8,1
paris,bulgarian,24,1
amsterdam,irish,4,1
copenhagen,latvian,34,1
paris,danish,5,0
valletta,french,20,1
amsterdam,estonian,19,1
madrid,slovene,28,1
paris,austrian,15,1
vienna,dutch,17,0
vienna,croatian,40,1
copenhagen,belgian,17,0
rome,swedish,27,0
paris,irish,1,0
paris,slovakian,8,1
madrid,irish,0,0
rome,slovene,39,1
paris,slovene,18,0
amsterdam,slovene,28,0
vilnius,swedish,7,0
madrid,swedish,37,0
vilnius,spanish,33,1
amsterdam,czech,44,1
amsterdam,irish,40,0
vienna,luxembourgish,18,0
paris,irish,42,0
rome,swedish,2,1
copenhagen,slovakian,7,1
sofia,romanian,25,1
madrid,belgian,28,1
vienna,lithuanian,42,1
vienna,italian,43,0
valletta,french,27,1
madrid,croatian,39,0
copenhagen,belgian,25,0
paris,spanish,26,0
copenhagen,french,6,1
copenhagen,portuguese,39,1
paris,italian,14,1
vilnius,swedish,44,0
paris,romanian,23,0
madrid,slovene,8,0
madrid,croatian,32,1
amsterdam,french,2,0
valletta,spanish,36,0
sofia,slovene,23,0
copenhagen,maltese,17,1
copenhagen,dutch,6,0
madrid,dutch,36,0
madrid,slovakian,35,0
vilnius,bulgarian,13,1
vilnius,belgian,33,0
paris,estonian,33,0
rome,croatian,40,1
vienna,slovakian,0,0
madrid,greek,0,0
madrid,croatian,9,0
copenhagen,lithuanian,36,1
sofia,danish,2,0
rome,german,2,0
madrid,maltese,38,1
amsterdam,czech,11,0
sofia,hungarian,18,1
sofia,dutch,10,1
valletta,finnish,3,0
sofia,slovene,5,1
sofia,romanian,9,1
copenhagen,romanian,4,0
copenhagen,belgian,43,1
copenhagen,danish,13,1
paris,lithuanian,38,0
copenhagen,austrian,6,1
madrid,austrian,7,0
paris,hungarian,17,0
rome,czech,41,1
copenhagen,danish,20,1
sofia,maltese,33,0
paris,estonian,0,1
vilnius,german,24,0
rome,romanian,22,1
sofia,swedish,28,0
vienna,slovene,5,0
valletta,romanian,38,1
vilnius,german,38,1
copenhagen,lithuanian,28,0
paris,cypriot,30,1
vilnius,romanian,9,0
copenhagen,finnish,19,0
copenhagen,slovakian,14,0
madrid,cypriot,19,0
amsterdam,spanish,16,0
vilnius,swedish,21,1
rome,irish,12,0
vilnius,irish,42,1
vilnius,finnish,7,0
vienna,irish,29,0
paris,french,4,0
paris,czech,27,1
vienna,latvian,31,0
vilnius,romanian,26,1
vienna,finnish,2,0
copenhagen,bulgarian,20,1
madrid,polish,31,0
rome,swedish,36,1
vienna,lithuanian,6,1
madrid,finnish,4,1
madrid,greek,7,0
madrid,swedish,8,0
